"id","lastVisitTime","title","typedCount","url","visitCount"
"1990","7/18/2016 1:51:08 PM","","0","https://chrome.google.com/webstore/category/apps?hl=en","1"
"1989","7/18/2016 1:51:03 PM","Chrome Web Store - Apps","0","https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf/related?hl=en","1"
"1988","7/18/2016 1:50:30 PM","Export History/Bookmarks to JSON/XLS* - Chrome Web Store","0","https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en","1"
"1987","7/18/2016 1:50:27 PM","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=chrome%20history%20to%20xls","1"
"5","7/18/2016 1:50:18 PM","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8","113"
"1986","7/18/2016 1:44:40 PM","user context meaning - Google Search","0","https://www.google.co.in/search?q=user+context+meaning&oq=user+context+meaning&aqs=chrome..69i57j69i65l3j69i60l2.4088j0j7&sourceid=chrome&ie=UTF-8","1"
"339","7/18/2016 1:42:23 PM","Inbox (2,749) - sabbhy1996@gmail.com - Gmail","0","https://mail.google.com/mail/u/0/#inbox","54"
"338","7/18/2016 1:42:07 PM","Gmail","0","https://mail.google.com/mail/u/0/","20"
"1985","7/18/2016 1:18:50 PM","Google Scholar Citations","0","https://scholar.google.com/citations?view_op=new_profile","1"
"1976","7/18/2016 1:18:32 PM","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=scholar","2"
"1952","7/18/2016 1:18:31 PM","Google Scholar","2","https://scholar.google.co.in/","5"
"1977","7/18/2016 1:18:31 PM","vidya balasubramanian - Google Scholar","0","https://scholar.google.co.in/scholar?hl=en&q=vidya+balasubramanian&btnG=","4"
"1980","7/18/2016 1:18:30 PM","v balasubramanian - Google Scholar","0","https://scholar.google.co.in/scholar?q=v+balasubramanian&btnG=&hl=en&as_sdt=0%2C5","2"
"1981","7/18/2016 1:18:30 PM","Google Scholar","0","https://scholar.google.co.in/schhp?hl=en&as_sdt=0,5","2"
"1982","7/18/2016 1:18:24 PM","v balasubramanian - Google Scholar","0","https://scholar.google.co.in/scholar?hl=en&q=v+balasubramanian&btnG=","2"
"1984","7/18/2016 1:18:23 PM","","0","https://scholar.google.co.in/citations?view_op=new_profile&hl=en","1"
"1983","7/18/2016 1:18:21 PM","Google Scholar Citations","0","https://scholar.google.co.in/citations?user=8sYrdUcAAAAJ&hl=en","1"
"1979","7/18/2016 1:17:06 PM","Abstract 1697: CPI-169, a novel and potent EZH2 inhibitor, synergizes with CHOP in vivo and achieves complete regression in lymphoma xenograft models | Cancer Research","0","http://cancerres.aacrjournals.org/content/74/19_Supplement/1697.short","1"
"1978","7/18/2016 1:16:45 PM","","0","http://search.proquest.com/openview/94c4f6b2236a6f6b8ea5f6ecd8ef58d4/1?pq-origsite=gscholar","2"
"1975","7/18/2016 1:15:52 PM","scholar - Google Search","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=vidya%20balasubramanian","1"
"1974","7/18/2016 1:11:52 PM","US20080005068.pdf","0","https://docs.google.com/viewer?url=patentimages.storage.googleapis.com/pdfs/US20080005068.pdf","1"
"1973","7/18/2016 12:59:17 PM","kibana - Google Search","0","https://www.google.co.in/search?q=kibana&oq=kibana&aqs=chrome..69i57.1860j0j7&sourceid=chrome&ie=UTF-8","1"
"1972","7/18/2016 12:54:05 PM","Thank You for Your Interest and Time | Elastic","0","https://www.elastic.co/thank-you?url=https://download.elastic.co/elasticsearch/release/org/elasticsearch/distribution/zip/elasticsearch/2.3.4/elasticsearch-2.3.4.zip","1"
"1970","7/18/2016 12:53:57 PM","Download Elasticsearch Free • Get Started Now | Elastic","0","https://www.elastic.co/downloads/elasticsearch","2"
"1971","7/18/2016 12:53:40 PM","Thank You for Your Interest and Time | Elastic","0","https://www.elastic.co/thank-you?url=https://download.elastic.co/elasticsearch/release/org/elasticsearch/distribution/zip/elasticsearch/5.0.0-alpha4/elasticsearch-5.0.0-alpha4.zip","1"
"1969","7/18/2016 12:52:27 PM","The Elastic Stack Download · Get Started in Minutes | Elastic","0","https://www.elastic.co/downloads","1"
"976","7/18/2016 12:49:19 PM","PHP | Codecademy","0","https://www.codecademy.com/learn/php","10"
"1277","7/18/2016 12:48:10 PM","Make a Website | Codecademy","0","https://www.codecademy.com/learn/make-a-website","11"
"1968","7/18/2016 12:47:31 PM","Learn | Codecademy","0","https://www.codecademy.com/learn#","2"
"1599","7/18/2016 12:47:23 PM","Log in | Codecademy","0","https://www.codecademy.com/login?redirect=https%3A%2F%2Fwww.codecademy.com%2F","4"
"1493","7/18/2016 12:46:08 PM","Learn to code | Codecademy","0","https://www.codecademy.com/","7"
"1964","7/18/2016 12:44:07 PM","Patent US20080005068 - Context-based search, retrieval, and awareness - Google Patents","0","https://www.google.com/patents/US20080005068","1"
"1963","7/18/2016 12:43:16 PM","Profile your workforce by age - NHS Employers","0","http://www.nhsemployers.org/your-workforce/need-to-know/working-longer-group/working-longer-group-tools-and-resources/age-awareness-toolkit/age-profile","1"
"1962","7/18/2016 12:43:13 PM","age profiling in search - Google Scholar","0","https://scholar.google.co.in/scholar?q=age+profiling+in+search&btnG=&hl=en&as_sdt=0%2C5","1"
"1961","7/18/2016 12:41:02 PM","Get Started with Elasticsearch | Elastic","0","https://www.elastic.co/webinars/get-started-with-elasticsearch?elektra=home&storm=banner&iesrc=ctr","1"
"1536","7/18/2016 12:40:24 PM","Elastic · Revealing Insights from Data (Formerly Elasticsearch) | Elastic","0","https://www.elastic.co/","2"
"1958","7/18/2016 12:39:06 PM","age profiling - Google Search","0","https://www.google.co.in/search?q=age+profiling&oq=age+profiling&aqs=chrome..69i57j0j69i65l2j69i61j0.2207j0j7&sourceid=chrome&ie=UTF-8","1"
"1957","7/18/2016 12:38:58 PM","customisation of user profile based on searches - Google Search","0","https://www.google.co.in/search?q=customisation+of+user+profile+based+on+searches&oq=customisation+of+user+profile+based+on+searches&aqs=chrome..69i57j69i60.624j0j7&sourceid=chrome&ie=UTF-8","1"
"1956","7/18/2016 12:38:53 PM","customisation of user profile based on searches - Google Scholar","0","https://scholar.google.co.in/scholar?hl=en&q=customisation+of+user+profile+based+on+searches&btnG=","1"
"1955","7/18/2016 12:38:25 PM","age profiling - Google Scholar","0","https://scholar.google.co.in/scholar?hl=en&q=age+profiling&btnG=","1"
"1535","7/18/2016 12:38:10 PM","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=elasticsearch","2"
"1954","7/18/2016 12:38:04 PM","context based search - Google Search","0","https://www.google.co.in/search?q=context+based+search&oq=context+based+search&aqs=chrome..69i57j69i60.665j0j7&sourceid=chrome&ie=UTF-8","1"
"1953","7/18/2016 12:37:59 PM","context based search - Google Scholar","0","https://scholar.google.co.in/scholar?hl=en&q=context+based+search&btnG=","1"
"1950","7/18/2016 12:37:20 PM","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=SCHOLAR","1"
"63","7/17/2016 9:54:08 AM","ettimadai.net","3","http://gpms.ettimadai.net/","3"
"64","7/15/2016 10:50:59 AM","GATE PASS MANAGEMENT SYSTEM","0","http://gpms.ettimadai.net/gpis/index.php","6"
"1949","7/14/2016 5:57:51 PM","Age Profiling of Web Search","0","https://docs.google.com/forms/d/e/1FAIpQLSfufrHk2PRoxFxXBruti0AKmmqC4IGXsH-Eo-RJRf6oEddVBQ/formResponse","2"
