"[]_id","<ROOT>_id","id","lastVisitTime","title","typedCount","url","visitCount"
"1","1","155","42568.21316566","ChromeHistoryView - View the browsing history of Chrome Web browser","0","http://www.nirsoft.net/utils/chrome_history_view.html","3"
"2","1","144","42568.21300309","Backup Or Export Google Chrome History To CSV Excel, Text Or HTML","0","http://www.ampercent.com/export-google-chrome-history-csv-text-html/8900/","2"
"3","1","154","42568.21287081","Can Chrome browser history be exported to an HTML file? - Super User","0","http://superuser.com/questions/602252/can-chrome-browser-history-be-exported-to-an-html-file","2"
"4","1","156","42568.212717014","BrowsingHistoryView - View browsing history of your Web browsers","0","http://www.nirsoft.net/utils/browsing_history_view.html","1"
"5","1","153","42568.211914734","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=chrome%20history%20to%20file","1"
"6","1","60","42568.211681053","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8","19"
"7","1","152","42568.20787978","json-xls.com","0","http://www.json-xls.com/json2xls?template=chrome_history","1"
"8","1","150","42568.207580012","","0","https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf/related?hl=en","1"
"9","1","142","42568.207346204","Export History/Bookmarks to JSON/XLS* - Chrome Web Store","0","https://chrome.google.com/webstore/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en","2"
"10","1","149","42568.207296736","","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=chrome%20history%20to%20xls","1"
"11","1","148","42568.20679831","Export data directly into Excel from a web page in IE7 - YouTube","0","https://www.youtube.com/watch?v=NOmyKi6S9tE","1"
"12","1","146","42568.206798264","How to Export and Import Google Chrome History/Cache and many without using any software - YouTube","0","https://www.youtube.com/results?search_query=export+chrome+history+to+xls","4"
"13","1","147","42568.205503843","How to Export and Import Google Chrome History/Cache and many without using any software - YouTube","0","https://www.youtube.com/watch?v=-Me8r-V4MUQ","1"
"14","1","145","42568.205222176","How to Export Browsing History into HTML file in Google Chrome - YouTube","0","https://www.youtube.com/watch?v=6qs6hlVdNtE","3"
"15","1","141","42568.20450228","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=how%20to%20extract%20browsing%20history%20from%20chrome","2"
"16","1","143","42568.202395058","Google","0","https://www.google.co.in/webhp?sourceid=chrome-instant&rlz=1C1CHZL_enIN689IN689&ion=1&espv=2&ie=UTF-8#q=export%20chrome%20browser%20history%20to%20excel","2"
