,id,lastVisitTime,title,url,visitCount,timeSpent,Internal_category,session,sim_val
211,421,7/4/2017 5:55:15 PM,python - UnicodeDecodeError: 'ascii' codec can't decode byte 0xe2 in position 13: ordinal not in range(128) - Stack Overflow,https://stackoverflow.com/questions/18649512/unicodedecodeerror-ascii-codec-cant-decode-byte-0xe2-in-position-13-ordinal,1,NA,General,0,0.27942063971
210,422,7/4/2017 5:59:29 PM,UnicodeDecodeError: 'ascii' codec can't decode byte 0xe2 in position 8: ordinal not in range(128) - Google Search,https://www.google.co.in/search?q=UnicodeDecodeError%3A+%27ascii%27+codec+can%27t+decode+byte+0xe2+in+position+8%3A+ordinal+not+in+range(128)&oq=UnicodeDecodeError%3A+%27ascii%27+codec+can%27t+decode+byte+0xe2+in+position+8%3A+ordinal+not+in+range(128)&aqs=chrome..69i57j69i58.9119j0j7&sourceid=chrome&ie=UTF-8,1,254,Search,16,0.260820367751
209,423,7/4/2017 5:59:32 PM,"python - How to fix: UnicodeDecodeError: 'ascii' codec can't decode byte"" - Stack Overflow""",https://stackoverflow.com/questions/21129020/how-to-fix-unicodedecodeerror-ascii-codec-cant-decode-byte,1,3,General,16,0.269056152927
208,427,7/4/2017 6:08:04 PM,Numerical Python | Release notes for Numerical Python at SourceForge.net,https://sourceforge.net/projects/numpy/files//NumPy/1.5.0/NOTES.txt/view,1,NA,General,0,0.749878817256
207,430,7/4/2017 6:09:33 PM,Numerical Python - Browse /NumPy at SourceForge.net,https://sourceforge.net/projects/numpy/files/NumPy/,1,89,General,15,0.993416721527
206,429,7/4/2017 6:09:36 PM,Numerical Python - Browse Files at SourceForge.net,https://sourceforge.net/projects/numpy/files/,2,3,General,15,0.964643095397
205,431,7/4/2017 6:09:40 PM,Download Statistics: NumPy,https://sourceforge.net/projects/numpy/files/NumPy/stats/timeline,1,4,General,15,0.178947368421
204,432,7/4/2017 6:09:59 PM,python - ImportError: No module named 'numpy' - Stack Overflow,https://stackoverflow.com/questions/38415459/importerror-no-module-named-numpy,1,19,General,15,0.293612453033
203,434,7/4/2017 6:10:18 PM,Installing Packages — Python Packaging User Guide,https://packaging.python.org/tutorials/installing-packages/,1,19,General,15,0.370775347913
202,435,7/4/2017 6:10:54 PM,python - Import Error: no module named numpy (numpy already installed) - Stack Overflow,https://stackoverflow.com/questions/42190527/import-error-no-module-named-numpy-numpy-already-installed,1,36,General,15,0.191253263708
201,424,7/4/2017 6:11:01 PM,ImportError: No module named numpy - Google Search,https://www.google.co.in/search?q=ImportError%3A+No+module+named+numpy&oq=ImportError%3A+No+module+named+numpy&aqs=chrome..69i57j69i58.1046j0j7&sourceid=chrome&ie=UTF-8,4,7,Search,15,0.22095548317
200,425,7/4/2017 6:11:04 PM,python - Import Error: No module named numpy - Stack Overflow,https://stackoverflow.com/questions/7818811/import-error-no-module-named-numpy,3,3,General,15,0.0595150624541
199,436,7/4/2017 7:02:47 PM,AutoKPE and MultimodelKPE - Continuation Graph - sachinprabhu199@gmail.com - Gmail,https://mail.google.com/mail/u/0/#sent/15cc59ce89ce3af0,1,NA,Search,0,0.0505050505051
198,438,7/4/2017 7:03:01 PM,Google Accounts,https://accounts.youtube.com/accounts/Logout2?hl=en&service=mail&ilo=1&ils=s.youtube%2Cdoritos%2Co.mail.google.com%2Co.notifications.google.com%2Cs.IN&ilc=0&continue=https%3A%2F%2Fmail.google.com%2Fmail&zx=-1715399618,1,14,Search,14,1.0
197,440,7/4/2017 7:03:01 PM,,https://www.google.com/accounts/Logout2?hl=en&service=mail&ilo=1&ils=doritos%2Co.mail.google.com%2Co.notifications.google.com%2Cs.IN&ilc=1&continue=https%3A%2F%2Fmail.google.com%2Fmail&zx=868240522,1,0,Search,14,1.0
196,441,7/4/2017 7:03:04 PM,,http://www.google.co.in/accounts/Logout2?hl=en&service=mail&ilo=1&ils=s.IN&ilc=2&continue=https%3A%2F%2Fmail.google.com%2Fmail&zx=-1044117,1,3,Search,14,0.0505050505051
195,456,7/4/2017 7:05:47 PM,,https://mail.google.com/mail/u/0/#sent/15ceed133bfd7aa5?projector=1,4,163,Search,14,1.0
194,455,7/4/2017 7:05:50 PM,Extracted values - ramaganapathy2222@gmail.com - Gmail,https://mail.google.com/mail/u/0/#sent/15ceed133bfd7aa5,5,3,Search,14,0.0505050505051
